"","cap-shape","cap-surface","cap-color","bruises","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","class"
"73","f","f","y","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","e"
"74","x","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","s","e"
"77","x","s","w","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","e"
"78","f","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","e"
"79","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","p"
"80","f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","e"
"81","x","s","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","s","e"
"83","f","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","e"
"84","x","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","e"
"85","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","e"
"87","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"88","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"89","f","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","e"
"92","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"93","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"94","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"95","x","s","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","e"
"98","x","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"99","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"100","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"101","x","f","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","e"
"102","b","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"104","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","e"
"105","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"106","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"107","x","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","e"
"108","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"109","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"110","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"111","x","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","e"
"112","s","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","y","e"
"113","x","f","w","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","e"
"114","x","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"115","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","p"
"117","s","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","y","e"
"118","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","e"
"119","x","s","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","e"
"120","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","y","e"
"121","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","p"
"122","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"123","f","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","p"
"125","x","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"126","x","s","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","e"
"127","b","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"128","f","f","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","a","e"
"129","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"131","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"132","b","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"133","f","s","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","e"
"134","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"135","f","s","w","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","e"
"136","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","p"
"137","f","f","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","e"
"138","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"139","x","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","p"
"140","b","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"141","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","e"
"142","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"143","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","e"
"144","f","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","e"
"145","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"147","f","f","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","a","e"
"149","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"152","x","s","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","e"
"154","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","e"
"155","x","s","w","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","e"
"156","x","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","e"
"157","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","e"
"159","b","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"160","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"161","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"164","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","e"
"165","x","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
"166","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","e"
"167","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"168","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"169","x","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","e"
"170","b","s","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"175","f","y","y","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","e"
"176","b","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","e"
"177","b","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"178","b","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"179","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"181","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","p"
"184","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"185","f","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","s","e"
"186","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","p"
"187","b","s","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"188","f","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","e"
"189","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"190","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","e"
"191","x","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","e"
"192","x","s","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","e"
"193","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"194","f","s","y","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","e"
"195","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","e"
"199","x","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"200","f","s","w","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"201","x","y","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"202","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"203","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"205","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","e"
"206","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","p"
"207","b","s","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"208","b","s","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"209","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"211","x","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"213","x","f","y","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"214","x","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","e"
"216","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"218","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"219","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"220","s","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","e"
"221","x","s","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"222","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","p"
"224","f","f","w","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","e"
"225","x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"226","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"227","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"228","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"229","x","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","p"
"230","b","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"233","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","e"
"234","f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","e"
"235","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","e"
"236","x","f","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","e"
"237","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"238","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"239","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","e"
"240","f","y","y","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","s","e"
"241","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","e"
"242","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"243","x","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"245","f","f","w","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","e"
"247","x","s","w","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","e"
"248","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"249","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","e"
"250","x","s","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","e"
"251","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","e"
"252","x","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","p"
"253","s","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","v","e"
"254","b","y","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"257","f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","e"
"260","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"261","f","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","e"
"262","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","p"
"264","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"265","f","f","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","e"
"266","f","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","v","e"
"267","f","s","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","a","e"
"268","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"270","f","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","p"
"271","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"272","f","s","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","v","p"
"273","x","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
"277","f","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","e"
"278","x","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"279","f","f","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","s","e"
"280","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","e"
"283","s","f","n","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","e"
"284","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"285","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"288","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"289","x","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","e"
"290","f","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","y","e"
"291","x","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","y","e"
"292","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"293","x","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"296","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"297","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"298","x","f","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","e"
"299","f","s","y","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","e"
"300","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","p"
"301","x","f","w","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","a","e"
"302","b","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"303","x","s","y","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","e"
"306","x","f","n","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","y","e"
"307","b","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
"308","x","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"309","f","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","y","e"
"310","x","f","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","e"
"311","x","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"312","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","p"
"313","x","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"314","x","f","w","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","e"
"315","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"316","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","p"
"318","x","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"319","x","f","w","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"321","x","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
"322","f","f","y","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","e"
"325","x","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","e"
"326","b","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"327","x","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"328","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","p"
"329","b","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","e"
"331","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","v","p"
"333","b","y","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"334","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"335","x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"336","x","f","n","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","y","e"
"337","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","e"
"339","x","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","v","e"
"340","x","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","e"
"341","x","s","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
"342","b","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"343","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"344","f","f","y","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","e"
"345","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","e"
"346","x","f","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","a","e"
"347","x","f","y","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"348","x","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"349","f","s","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","e"
"350","x","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","y","e"
"351","f","s","g","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","a","e"
"352","f","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","e"
"353","b","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
"354","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"355","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","e"
"358","x","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","p"
"360","x","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"361","x","f","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","s","e"
"362","x","f","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","a","e"
"364","f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","e"
"367","x","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","e"
"368","x","f","y","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","e"
"370","x","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","e"
"371","x","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","e"
"373","x","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"374","s","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","e"
"375","x","s","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"378","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"379","x","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","e"
"380","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
